Name,Symbol,Date, High , Low , Open , Close ,Volume, Marketcap 
Bitcoin,BTC,2017-10-28,5876.72,5689.19 ,5787.82,5753.09 ,1403920000,95797359518.00 
Bitcoin,BTC,2017-10-29,6255.71,5724.58 ,5754.44,6153.85 ,2859040000,102482000000.00 
Bitcoin,BTC,2017-10-30,6214.99,6040.85 ,6114.85,6130.53 ,1772150016,102105000000.00 
Bitcoin,BTC,2017-10-31,6470.43,6103.33 ,6132.02,6468.40 ,2311379968,107744000000.00 
Bitcoin,BTC,2017-11-01,6767.31,6377.88 ,6440.97,6767.31 ,2870320128,112735000000.00 
Bitcoin,BTC,2017-11-02,7367.33,6758.72 ,6777.77,7078.50 ,4653770240,117933000000.00 
Bitcoin,BTC,2017-11-03,7461.29,7002.94 ,7087.53,7207.76 ,3369860096,120097000000.00 
Bitcoin,BTC,2017-11-04,7492.86,7031.28 ,7164.48,7379.95 ,2483800064,122979000000.00 
Bitcoin,BTC,2017-11-05,7617.48,7333.19 ,7404.52,7407.41 ,2380410112,123449000000.00 
Bitcoin,BTC,2017-11-06,7445.77,7007.31 ,7403.22,7022.76 ,3111899904,117051000000.00 
Bitcoin,BTC,2017-11-07,7253.32,7023.10 ,7023.10,7144.38 ,2326340096,119091000000.00 
Bitcoin,BTC,2017-11-08,7776.42,7114.02 ,7141.38,7459.69 ,4602200064,124361000000.00 
Bitcoin,BTC,2017-11-09,7446.83,7101.52 ,7446.83,7143.58 ,3226249984,119105000000.00 
Bitcoin,BTC,2017-11-10,7312.00,6436.87 ,7173.73,6618.14 ,5208249856,110354000000.00 
Bitcoin,BTC,2017-11-11,6873.15,6204.22 ,6618.61,6357.60 ,4908680192,106016000000.00 
Bitcoin,BTC,2017-11-12,6625.05,5519.01 ,6295.45,5950.07 ,8957349888,99226193603.00 
Bitcoin,BTC,2017-11-13,6811.19,5844.29 ,5938.25,6559.49 ,6263249920,109401000000.00 
Bitcoin,BTC,2017-11-14,6764.98,6461.75 ,6561.48,6635.75 ,3197110016,110683000000.00 
Bitcoin,BTC,2017-11-15,7342.25,6634.76 ,6634.76,7315.54 ,4200880128,122036000000.00 
Bitcoin,BTC,2017-11-16,7967.38,7176.58 ,7323.24,7871.69 ,5123809792,131328000000.00 
Bitcoin,BTC,2017-11-17,8004.59,7561.09 ,7853.57,7708.99 ,4651670016,128622000000.00 
